id,heuristic,template,subtemplate_id,label,premise,hypothesis,high_quality,extreme_low_quality,var_list,example_premise,example_hypotheis,example_high_quality,example_extreme_low_quality
57, subsequence, sn_NP/S, 1, neutral, the N1 Vnps1 the N2 Vt2 the N3., the N1 Vnps1 the N2.,"the N1 Vnps1 the N2 Vt2 the N3 , we do not know whether the N1 Vnps1 the N2 doing other things.", N1 Vnps1 N2 Vt2 N3 not know N1 Vnps1 N2,"['N1', 'N2', 'Vnps1', 'Vt2', 'N3']",the musicians knew the analyst needed the counselor .,the musicians knew the analyst .,"the musicians knew the analyst needed the counselor , we do not know whether the musicians knew the analyst doing other things .",musicians knew analyst needed counselor not know musicians knew analyst
58, constituent, ce_after_since_clause, 0, entailment,"Advoutent1 the N1 Vi1 , the N2 Vi2.",the N2 Vi2.,"the N1 Vi1 , so the N2 Vi2.", N1 Vi1 N2 Vi2,"['N1', 'N2', 'Vi1', 'Vi2', 'Advoutent1']","since the musician shouted , the therapist existed .",the therapist existed .,"the musician shouted , so the therapist existed .",musician shouted therapist existed
59, constituent, ce_after_since_clause, 1, entailment,"Advoutent1 the N1 Vt1 the N3 , the N2 Vi2.", the N2 Vi2.,"the N1 Vt1 the N3 , so the N2 Vi2.", N1 Vt1 N3 N2 Vi2,"['N1', 'N2', 'Vt1', 'Vi2', 'N3', 'Advoutent1']","while the chaplain contacted the writers , the architects waited .",the architects waited .,"the chaplain contacted the writers , so the architects waited .",chaplain contacted writers architects waited
60, constituent, ce_after_since_clause, 2, entailment,"Advoutent1 the N1 Vi1 , the N2 Vt2 the N3.",the N2 Vt2 the N3.,"the N1 Vi1 , so the N2 Vt2 the N3.", N1 Vi1 N2 Vt2 N3,"['N1', 'N2', 'Vi1', 'Vt2', 'N3', 'Advoutent1']","because the writers worked , the bakers advised the senator .",the bakers advised the senator .,"the writers worked , so the bakers advised the senator .",writers worked bakers advised senator
61, constituent, ce_after_since_clause, 3, entailment,"Advoutent1 the N1 Vt1 the N3 , the N2 Vt2 the N4.",the N2 Vt2 the N4.,"the N1 Vt1 the N3 , so the N2 Vt2 the N4.", N1 Vt1 N3 N2 Vt2 N4,"['N1', 'N2', 'Vt1', 'Vt2', 'N3', 'N4', 'Advoutent1']","before the programmer called the actor , the sculptor contacted the administrators .",the sculptor contacted the administrators .,"the programmer called the actor , so the sculptor contacted the administrators .",programmer called actor sculptor contacted administrators
62, constituent, ce_after_since_clause, 4, entailment,"in case the N1 Vi1 , the N2 Vi2.",the N2 Vi2.,the N2 Vi2 despite the clause in case the N1 Vi1., N2 Vi2 N1 Vi1,"['N1', 'N2', 'Vi1', 'Vi2']","in case the nurses agreed , the illustrator resigned .",the illustrator resigned .,the illustrator resigned despite the clause in case the nurses agreed .,illustrator resigned nurses agreed
63, constituent, ce_after_since_clause, 5, entailment,"in case the N1 Vt1 the N3 , the N2 Vi2.",the N2 Vi2.,the N2 Vi2 despite the clause in case the N1 Vt1 the N3., N2 Vi2 N1 Vt1 N3,"['N1', 'N2', 'Vt1', 'Vi2', 'N3']","in case the photojournalist saw the technologist , the doctor cried .",the doctor cried .,the doctor cried despite the clause in case the photojournalist saw the technologist .,doctor cried photojournalist saw technologist
64, constituent, ce_after_since_clause, 6, entailment,"in case the N1 Vi1 , the N2 Vt2 the N3.",the N2 Vt2 the N3.,the N2 Vt2 the N3 despite the clause in case the N1 Vi1., N2 Vt2 N3 N1 Vi1,"['N1', 'N2', 'Vi1', 'Vt2', 'N3']","in case the nurse resigned , the designers recommended the analyst .",the designers recommended the analyst .,the designers recommended the analyst despite the clause in case the nurse resigned .,designers recommended analyst nurse resigned
65, constituent, ce_after_since_clause, 7, entailment,"in case the N1 Vt1 the N3 , the N2 Vt2 the N4.",the N2 Vt2 the N4.,the N2 Vt2 the N4 despite the clause in case the N1 Vt1 the N3., N2 Vt2 N4 N1 Vt1 N3,"['N1', 'N2', 'Vt1', 'Vt2', 'N3', 'N4']","in case the senator avoided the professors , the lawyer recommended the directors .",the lawyer recommended the directors .,the lawyer recommended the directors despite the clause in case the senator avoided the professors .,lawyer recommended directors senator avoided professors
66, constituent, ce_after_since_clause, 8, entailment,"whether or not the N1 Vi1 , the N2 Vi2.",the N2 Vi2.,the N2 Vi2 despite the clause whether or not the N1 Vi1., N2 Vi2 N1 Vi1,"['N1', 'N2', 'Vi1', 'Vi2']","whether or not the president existed , the architects appeared .",the architects appeared .,the architects appeared despite the clause whether or not the president existed .,architects appeared president existed
67, constituent, ce_after_since_clause, 9, entailment,"whether or not the N1 Vt1 the N3 , the N2 Vi2.",the N2 Vi2.,the N2 Vi2 despite the clause whether or not the N1 Vt1 the N3., N2 Vi2 N1 Vt1 N3,"['N1', 'N2', 'Vt1', 'Vi2', 'N3']","whether or not the workers affected the strategist , the nurses listened .",the nurses listened .,the nurses listened despite the clause whether or not the workers affected the strategist .,nurses listened workers affected strategist
68, constituent, ce_after_since_clause, 10, entailment,"whether or not the N1 Vi1 , the N2 Vt2 the N3.",the N2 Vt2 the N3.,the N2 Vt2 the N3 despite the clause whether or not the N1 Vi1., N2 Vt2 N3 N1 Vi1,"['N1', 'N2', 'Vi1', 'Vt2', 'N3']","whether or not the president smiled , the doctors helped the administrators .",the doctors helped the administrators .,the doctors helped the administrators despite the clause whether or not the president smiled .,doctors helped administrators president smiled
69, constituent, ce_after_since_clause, 11, entailment,"whether or not the N1 Vt1 the N3 , the N2 Vt2 the N4.",the N2 Vt2 the N4.,the N2 Vt2 the N4 despite the clause whether or not the N1 Vt1 the N3., N2 Vt2 N4 N1 Vt1 N3,"['N1', 'N2', 'Vt1', 'Vt2', 'N3', 'N4']","whether or not the officers saw the nurse , the artisan found the presidents .",the artisan found the presidents .,the artisan found the presidents despite the clause whether or not the officers saw the nurse .,artisan found presidents officers saw nurse
70, constituent, ce_embedded_under_verb, 0, entailment, the N1 Vconstquotentailed1 Rels1 the N2 Vi2., the N2 Vi2.,"the N1 Vconstquotentailed1 Rels1 the N2 Vi2 , so the N2 Vi2 is a fact that happened.", N1 Vconstquotentailed1 N2 Vi2 N2 Vi2,"['N1', 'N2', 'Vconstquotentailed1', 'Vi2', 'Rels1']",the analysts learned that the lawyers laughed .,the lawyers laughed .,"the analysts learned that the lawyers laughed , so the lawyers laughed is a fact that happened .",analysts learned lawyers laughed lawyers laughed
71, constituent, ce_embedded_under_verb, 1, entailment, the N1 Vconstquotentailed1 Rels1 the N2 Vt2 the N3., the N2 Vt2 the N3.,"the N1 Vconstquotentailed1 Rels1 the N2 Vt2 the N3 , so the N2 Vt2 the N3 is a fact that happened.", N1 Vconstquotentailed1 N2 Vt2 N3 N2 Vt2 N3,"['N1', 'N2', 'Vconstquotentailed1', 'Vt2', 'N3', 'Rels1']",the photojournalists learned who the photographer deceived the lawyer .,the photographer deceived the lawyer .,"the photojournalists learned who the photographer deceived the lawyer , so the photographer deceived the lawyer is a fact that happened .",photojournalists learned photographer deceived lawyer photographer deceived lawyer
72, constituent, ce_conjunction, 0, entailment,"the N1 Vi1 , and the N2 Vi2.", the N1 Vi1., both the N1 Vi1 and the N2 Vi2., N1 Vi1 N2 Vi2,"['N1', 'N2', 'Vi1', 'Vi2']","the curators continued , and the designers yell .",the curators continued .,both the curators continued and the designers yell .,curators continued designers yell
73, constituent, ce_conjunction, 1, entailment,"the N1 Vi1 , and the N2 Vt2 the N3.", the N1 Vi1., both the N1 Vi1 and the N2 Vt2 the N3., N1 Vi1 N2 Vt2 N3,"['N1', 'N2', 'Vi1', 'Vt2', 'N3']","the curator slept , and the manager brought the artist .",the curator slept .,both the curator slept and the manager brought the artist .,curator slept manager brought artist
74, constituent, ce_conjunction, 2, entailment,"the N1 Vt1 the N3 , and the N2 Vi2.", the N1 Vt1 the N3., both the N1 Vt1 the N3 and the N2 Vi2., N1 Vt1 N3 N2 Vi2,"['N1', 'N2', 'Vt1', 'Vi2', 'N3']","the programmers contacted the essayists , and the judge listened .",the programmers contacted the essayists .,both the programmers contacted the essayists and the judge listened .,programmers contacted essayists judge listened
75, constituent, ce_conjunction, 3, entailment,"the N1 Vt1 the N3 , and the N2 Vt2 the N4.", the N1 Vt1 the N3., both the N1 Vt1 the N3 and the N2 Vt2 the N4., N1 Vt1 N3 N2 Vt2 N4,"['N1', 'N2', 'Vt1', 'Vt2', 'N3', 'N4']","the banker brought the animators , and the lawyer mentioned the planners .",the banker brought the animators .,both the banker brought the animators and the lawyer mentioned the planners .,banker brought animators lawyer mentioned planners
76, constituent, ce_conjunction, 4, entailment,"the N1 Vi1 , and the N2 Vi2.", the N2 Vi2., both the N1 Vi1 and the N2 Vi2., N1 Vi1 N2 Vi2,"['N1', 'N2', 'Vi1', 'Vi2']","the musician danced , and the actor smiled .",the actor smiled .,both the musician danced and the actor smiled .,musician danced actor smiled
77, constituent, ce_conjunction, 5, entailment,"the N1 Vi1 , and the N2 Vt2 the N3.", the N2 Vt2 the N3., both the N1 Vi1 and the N2 Vt2 the N3., N1 Vi1 N2 Vt2 N3,"['N1', 'N2', 'Vi1', 'Vt2', 'N3']","the students resigned , and the pencillers encouraged the psychiatrist .",the pencillers encouraged the psychiatrist .,both the students resigned and the pencillers encouraged the psychiatrist .,students resigned pencillers encouraged psychiatrist
78, constituent, ce_conjunction, 6, entailment,"the N1 Vt1 the N3 , and the N2 Vi2.", the N2 Vi2., both the N1 Vt1 the N3 and the N2 Vi2., N1 Vt1 N3 N2 Vi2,"['N1', 'N2', 'Vt1', 'Vi2', 'N3']","the sculptor affected the architects , and the tourists lay .",the tourists lay .,both the sculptor affected the architects and the tourists lay .,sculptor affected architects tourists lay
79, constituent, ce_conjunction, 7, entailment,"the N1 Vt1 the N3 , and the N2 Vt2 the N4.", the N2 Vt2 the N4., both the N1 Vt1 the N3 and the N2 Vt2 the N4., N1 Vt1 N3 N2 Vt2 N4,"['N1', 'N2', 'Vt1', 'Vt2', 'N3', 'N4']","the essayists mentioned the programmers , and the artist contacted the sculptor .",the artist contacted the sculptor .,both the essayists mentioned the programmers and the artist contacted the sculptor .,essayists mentioned programmers artist contacted sculptor
80, constituent, ce_adverb, 0, entailment, Advent1 the N1 Vi1., the N1 Vi1., Advent1 suggests that the N1 Vi1 happened., Advent1 N1 Vi1,"['Advent1', 'N1', 'Vi1']",certainly the illustrators continued .,the illustrators continued .,certainly suggests that the illustrators continued happened .,certainly illustrators continued
81, constituent, ce_adverb, 1, entailment, Advent1 the N1 Vt1 the N2., the N1 Vt1 the N2., Advent1 suggests that the N1 Vt1 the N2 happened., Advent1 N1 Vt1 N2,"['Advent1', 'N1', 'Vt1', 'N2']",obviously the athletes deceived the scientists .,the athletes deceived the scientists .,obviously suggests that the athletes deceived the scientists happened .,obviously athletes deceived scientists
82, constituent, ce_adverb, 2, entailment, without a doubt the N1 Vi1., the N1 Vi1., without a doubt suggests that the N1 Vi1 happened., without a doubt N1 Vi1,"['N1', 'Vi1']",without a doubt the tourist danced .,the tourist danced .,without a doubt suggests that the tourist danced happened .,without a doubt tourist danced
83, constituent, ce_adverb, 3, entailment, without a doubt the N1 Vt1 the N2., the N1 Vt1 the N2., without a doubt suggests that the N1 Vt1 the N2 happened., without a doubt N1 Vt1 N2,"['N1', 'Vt1', 'N2']",without a doubt the counselors found the illustrator .,the counselors found the illustrator .,without a doubt suggests that the counselors found the illustrator happened .,without a doubt counselors found illustrator
84, constituent, ce_adverb, 4, entailment, of course the N1 Vi1., the N1 Vi1.,of course suggests that the N1 Vi1 happened., of course N1 Vi1,"['N1', 'Vi1']",of course the nurse arrived .,the nurse arrived .,of course suggests that the nurse arrived happened .,of course nurse arrived
85, constituent, ce_adverb, 5, entailment, of course the N1 Vt1 the N2., the N1 Vt1 the N2., of course suggests that the N1 Vt1 the N2 happened., of course N1 Vt1 N2,"['N1', 'Vt1', 'N2']",of course the chaplain offended the stylist .,the chaplain offended the stylist .,of course suggests that the chaplain offended the stylist happened .,of course chaplain offended stylist
86, constituent, ce_embedded_under_since, 0, entailment,"Advembent1 the N1 Vi1 , the N2 Vi2.", the N1 Vi1, Advembent1 suggests the N1 Vi1 happened., Advembent1 N1 Vi1,"['Advembent1', 'N1', 'N2', 'Vi1', 'Vi2']","while the authors grew , the lyricist shouted .",the authors grew,while suggests the authors grew happened .,while authors grew
87, constituent, ce_embedded_under_since, 1, entailment,"Advembent1 the N1 Vi1 , the N2 Vt2 the N3.", the N1 Vi1,Advembent1 suggests the N1 Vi1 happened., Advembent1 N1 Vi1,"['Advembent1', 'N1', 'N2', 'Vi1', 'Vt2', 'N3']","because the engineer continued , the writer recommended the stylists .",the engineer continued,because suggests the engineer continued happened .,because engineer continued
88, constituent, ce_embedded_under_since, 2, entailment,"Advembent1 the N1 Vt1 the N3 , the N2 Vi2.",  the N1 Vt1 the N3, Advembent1 suggests the N1 Vt1 the N3 happened., Advembent1 N1 Vt1 N3,"['Advembent1', 'N1', 'N2', 'Vt1', 'Vi2', 'N3']","because the nurses brought the colorists , the curators lay .",the nurses brought the colorists,because suggests the nurses brought the colorists happened .,because nurses brought colorists
89, constituent, ce_embedded_under_since, 3, entailment,"Advembent1 the N1 Vt1 the N3 , the N2 Vt2 the N4.", the N1 Vt1 the N3, Advembent1 suggests the N1 Vt1 the N3 happened., Advembent1 N1 Vt1 N3,"['Advembent1', 'N1', 'N2', 'Vt1', 'Vt2', 'N3', 'N4']","after the baker brought the artists , the illustrator addressed the musician .",the baker brought the artists,after suggests the baker brought the artists happened .,after baker brought artists
90, constituent, cn_after_if_clause, 0, neutral,"Advoutnent1 the N1 Vi1 , the N2 Vi2.", the N2 Vi2.,"we do not know if the N1 Vi1 , so we do not know if the N2 Vi2.", not know N1 Vi1 not know N2 Vi2,"['Advoutnent1', 'N1', 'N2', 'Vi1', 'Vi2']","unless the artist yell , the engineers shouted .",the engineers shouted .,"we do not know if the artist yell , so we do not know if the engineers shouted .",not know artist yell not know engineers shouted
91, constituent, cn_after_if_clause, 1, neutral,"Advoutnent1 the N1 Vi1 , the N2 Vt2 the N3.", the N2 Vt2 the N3.,"we do not know if the N1 Vi1 , so we do not know if the N2 Vt2 the N3.", not know N1 Vi1 not know N2 Vt2 N3,"['Advoutnent1', 'N1', 'N2', 'Vi1', 'Vt2', 'N3']","if the sculptors died , the lyricist called the doctors .",the lyricist called the doctors .,"we do not know if the sculptors died , so we do not know if the lyricist called the doctors .",not know sculptors died not know lyricist called doctors
92, constituent, cn_after_if_clause, 2, neutral,"Advoutnent1 the N1 Vt1 the N3 , the N2 Vi2.", the N2 Vi2.,"we do not know if the N1 Vt1 the N3 , so we do not know if the N2 Vi2.", not know N1 Vt1 N3 not know N2 Vi2,"['Advoutnent1', 'N1', 'N2', 'Vt1', 'Vi2', 'N3']","unless the technicians offended the manager , the dancer grew .",the dancer grew .,"we do not know if the technicians offended the manager , so we do not know if the dancer grew .",not know technicians offended manager not know dancer grew
93, constituent, cn_after_if_clause, 3, neutral,"Advoutnent1 the N1 Vt1 the N3 , the N2 Vt2 the N4.", the N2 Vt2 the N4.,"we do not know if the N1 Vt1 the N3 , so we do not know if the N2 Vt2 the N4.", not know N1 Vt1 N3 not know N2 Vt2 N4,"['Advoutnent1', 'N1', 'N2', 'Vt1', 'Vt2', 'N3', 'N4']","unless the illustrators helped the administrators , the writers recognized the worker .",the writers recognized the worker .,"we do not know if the illustrators helped the administrators , so we do not know if the writers recognized the worker .",not know illustrators helped administrators not know writers recognized worker
94, constituent, cn_embedded_under_verb, 0, neutral, the N1 Vnonentquote1 that the N2 Vi2., the N2 Vi2.,"Vnonentquote1 suggests a hypothesis of the N1 , so we do not know whether the N2 Vi2.", Vnonentquote1 N1 not know N2 Vi2,"['N1', 'N2', 'Vnonentquote1', 'Vi2']",the artists assumed that the banker sat .,the banker sat .,"assumed suggests a hypothesis of the artists , so we do not know whether the banker sat .",assumed artists not know banker sat
95, constituent, cn_embedded_under_verb, 1, neutral, the N1 Vnonentquote1 that the N2 Vt2 the N3., the N2 Vt2 the N3.,"Vnonentquote1 suggests a hypothesis of the N1 , so we do not know whether the N2 Vt2 the N3.", Vnonentquote1 N1 not know N2 Vt2 N3,"['N1', 'N2', 'Vnonentquote1', 'Vt2', 'N3']",the psychologists believed that the psychotherapists contacted the authors .,the psychotherapists contacted the authors .,"believed suggests a hypothesis of the psychologists , so we do not know whether the psychotherapists contacted the authors .",believed psychologists not know psychotherapists contacted authors
96, constituent, cn_disjunction, 0, neutral,"the N1 Vi1 , or the N2 Vi2.", the N1 Vi1.,"if the N2 Vi2 , then we do not know whether the N1 Vi1.", N2 Vi2 not know N1 Vi1,"['N1', 'N2', 'Vi1', 'Vi2']","the president resigned , or the senators yell .",the president resigned .,"if the senators yell , then we do not know whether the president resigned .",senators yell not know president resigned
97, constituent, cn_disjunction, 1, neutral,"the N1 Vi1 , or the N2 Vt2 the N3.", the N1 Vi1.,"if the N2 Vt2 the N3 , then we do not know whether the N1 Vi1.", N2 Vt2 N3 not know N1 Vi1,"['N1', 'N2', 'Vi1', 'Vt2', 'N3']","the stylist died , or the photographers called the engineer .",the stylist died .,"if the photographers called the engineer , then we do not know whether the stylist died .",photographers called engineer not know stylist died
98, constituent, cn_disjunction, 2, neutral,"the N1 Vt1 the N3 , or the N2 Vi2.", the N1 Vt1 the N3.,"if the N2 Vi2 , then we do not know whether the N1 Vt1 the N3.", N2 Vi2 not know N1 Vt1 N3,"['N1', 'N2', 'Vt1', 'Vi2', 'N3']","the lawyers avoided the technician , or the athletes existed .",the lawyers avoided the technician .,"if the athletes existed , then we do not know whether the lawyers avoided the technician .",athletes existed not know lawyers avoided technician
99, constituent, cn_disjunction, 3, neutral,"the N1 Vt1 the N3 , or the N2 Vt2 the N4.", the N1 Vt1 the N3.,"if the N2 Vt2 the N4 , then we do not know whether the N1 Vt1 the N3.", N2 Vt2 N4 not know N1 Vt1 N3,"['N1', 'N2', 'Vt1', 'Vt2', 'N3', 'N4']","the athlete thanked the strategist , or the stylist advised the therapists .",the athlete thanked the strategist .,"if the stylist advised the therapists , then we do not know whether the athlete thanked the strategist .",stylist advised therapists not know athlete thanked strategist
100, constituent, cn_disjunction, 4, neutral,"the N1 Vi1 , or the N2 Vi2.", the N2 Vi2.,"if the N1 Vi1 , then we do not know whether the N2 Vi2.", N1 Vi1 not know N2 Vi2,"['N1', 'N2', 'Vi1', 'Vi2']","the curators worked , or the student cried .",the student cried .,"if the curators worked , then we do not know whether the student cried .",curators worked not know student cried
101, constituent, cn_disjunction, 5, neutral,"the N1 Vi1 , or the N2 Vt2 the N3.", the N2 Vt2 the N3.,"if the N1 Vi1 , then we do not know whether the N2 Vt2 the N3.", N1 Vi1 not know N2 Vt2 N3,"['N1', 'N2', 'Vi1', 'Vt2', 'N3']","the writer died , or the psychiatrists encouraged the psychologists .",the psychiatrists encouraged the psychologists .,"if the writer died , then we do not know whether the psychiatrists encouraged the psychologists .",writer died not know psychiatrists encouraged psychologists
102, constituent, cn_disjunction, 6, neutral,"the N1 Vt1 the N3 , or the N2 Vi2.", the N2 Vi2.,"if the N1 Vt1 the N3 , then we do not know whether the N2 Vi2.", N1 Vt1 N3 not know N2 Vi2,"['N1', 'N2', 'Vt1', 'Vi2', 'N3']","the programmers brought the psychiatrist , or the photographer resigned .",the photographer resigned .,"if the programmers brought the psychiatrist , then we do not know whether the photographer resigned .",programmers brought psychiatrist not know photographer resigned
103, constituent, cn_disjunction, 7, neutral,"the N1 Vt1 the N3 , or the N2 Vt2 the N4.", the N2 Vt2 the N4.,"if the N1 Vt1 the N3 , then we do not know whether the N2 Vt2 the N4.", N1 Vt1 N3 not know N2 Vt2 N4,"['N1', 'N2', 'Vt1', 'Vt2', 'N3', 'N4']","the dancers advised the doctors , or the essayists expected the animators .",the essayists expected the animators .,"if the dancers advised the doctors , then we do not know whether the essayists expected the animators .",dancers advised doctors not know essayists expected animators
104, constituent, cn_adverb, 0, neutral, Advnonent1 the N1 Vi1., the N1 Vi1.,"Advnonent1 suggests an uncertainty, so we do not know whether the N1 Vi1.", Advnonent1 not know N1 Vi1,"['N1', 'Advnonent1', 'Vi1']",supposedly the lawyers appeared .,the lawyers appeared .,"supposedly suggests an uncertainty, so we do not know whether the lawyers appeared .",supposedly not know lawyers appeared
105, constituent, cn_adverb, 1, neutral, Advnonent1 the N1 Vt1 the N2., the N1 Vt1 the N2.,"Advnonent1 suggests an uncertainty, so we do not know whether the N1 Vt1 the N2.", Advnonent1 not know N1 Vt1 N2,"['N1', 'Advnonent1', 'Vt1', 'N2']",hopefully the programmers admired the artists .,the programmers admired the artists .,"hopefully suggests an uncertainty, so we do not know whether the programmers admired the artists .",hopefully not know programmers admired artists
106, constituent, cn_embedded_under_if, 0, neutral,"Advembnent1 the N1 Vi1 , the N2 Vi2.", the N1 Vi1,"the N2 Vi2 if the N1 Vi1 , we do not know whether the N1 Vi1.", N2 Vi2 N1 Vi1 not know N1 Vi1,"['Advembnent1', 'N1', 'N2', 'Vi1', 'Vi2']","unless the athletes worked , the technicians shouted .",the athletes worked,"the technicians shouted if the athletes worked , we do not know whether the athletes worked .",technicians shouted athletes worked not know athletes worked
107, constituent, cn_embedded_under_if, 1, neutral,"Advembnent1 the N1 Vi1 , the N2 Vt2 the N3.", the N1 Vi1,"the N2 Vt2 the N3 if the N1 Vi1 , we do not know whether the N1 Vi1.", N2 Vt2 N3 N1 Vi1 not know N1 Vi1,"['Advembnent1', 'N1', 'N2', 'Vi1', 'Vt2', 'N3']","if the manager waited , the colorist offended the officers .",the manager waited,"the colorist offended the officers if the manager waited , we do not know whether the manager waited .",colorist offended officers manager waited not know manager waited
108, constituent, cn_embedded_under_if, 2, neutral,"Advembnent1 the N1 Vt1 the N3 , the N2 Vi2.", the N1 Vt1 the N3,"the N2 Vi2 if the N1 Vt1 the N3 , we do not know whether the N1 Vt1 the N3.", N2 Vi2 N1 Vt1 N3 not know N1 Vt1 N3,"['Advembnent1', 'N1', 'N2', 'Vt1', 'Vi2', 'N3']","if the lyricists supported the manager , the animators continued .",the lyricists supported the manager,"the animators continued if the lyricists supported the manager , we do not know whether the lyricists supported the manager .",animators continued lyricists supported manager not know lyricists supported manager
109, constituent, cn_embedded_under_if, 3, neutral,"Advembnent1 the N1 Vt1 the N3 , the N2 Vt2 the N4.", the N1 Vt1 the N3,"the N2 Vt2 the N4 if the N1 Vt1 the N3 , we do not know whether the N1 Vt1 the N3.", N2 Vt2 N4 N1 Vt1 N3 not know N1 Vt1 N3,"['Advembnent1', 'N1', 'N2', 'Vt1', 'Vt2', 'N3', 'N4']","if the analyst admired the sculptors , the colorist recognized the artists .",the analyst admired the sculptors,"the colorist recognized the artists if the analyst admired the sculptors , we do not know whether the analyst admired the sculptors .",colorist recognized artists analyst admired sculptors not know analyst admired sculptors
110, constituent, cn_embedded_under_if, 4, neutral,"whether or not the N1 Vi1 , the N2 Vi2.", the N1 Vi1,"the N2 Vi2 , we do not know whether the N1 Vi1.", N2 Vi2 not know N1 Vi1,"['N1', 'N2', 'Vi1', 'Vi2']","whether or not the author grew , the analysts listened .",the author grew,"the analysts listened , we do not know whether the author grew .",analysts listened not know author grew
111, constituent, cn_embedded_under_if, 5, neutral,"whether or not the N1 Vi1 , the N2 Vt2 the N3.", the N1 Vi1,"the N2 Vt2 the N3 , we do not know whether the N1 Vi1.", N2 Vt2 N3 not know N1 Vi1,"['N1', 'N2', 'Vi1', 'Vt2', 'N3']","whether or not the musician performed , the baker disturbed the singer .",the musician performed,"the baker disturbed the singer , we do not know whether the musician performed .",baker disturbed singer not know musician performed
112, constituent, cn_embedded_under_if, 6, neutral,"whether or not the N1 Vt1 the N3 , the N2 Vi2.", the N1 Vt1 the N3,"the N2 Vi2 , we do not know whether the N1 Vt1 the N3.", N2 Vi2 not know N1 Vt1 N3,"['N1', 'N2', 'Vt1', 'Vi2', 'N3']","whether or not the chaplain thanked the dancer , the animators cried .",the chaplain thanked the dancer,"the animators cried , we do not know whether the chaplain thanked the dancer .",animators cried not know chaplain thanked dancer
113, constituent, cn_embedded_under_if, 7, neutral,"whether or not the N1 Vt1 the N3 , the N2 Vt2 the N4.", the N1 Vt1 the N3,"the N2 Vt2 the N4 , we do not know whether the N1 Vt1 the N3.", N2 Vt2 N4 not know N1 Vt1 N3,"['N1', 'N2', 'Vt1', 'Vt2', 'N3', 'N4']","whether or not the nurse offended the potter , the writer disturbed the doctors .",the nurse offended the potter,"the writer disturbed the doctors , we do not know whether the nurse offended the potter .",writer disturbed doctors not know nurse offended potter
114, constituent, cn_embedded_under_if, 8, neutral,"in case the N1 Vi1 , the N2 Vi2.", the N1 Vi1,"the N2 Vi2 if the N1 Vi1 , we do not know whether the N1 Vi1.", N2 Vi2 N1 Vi1 not know N1 Vi1,"['N1', 'N2', 'Vi1', 'Vi2']","in case the curator cried , the students grew .",the curator cried,"the students grew if the curator cried , we do not know whether the curator cried .",students grew curator cried not know curator cried
115, constituent, cn_embedded_under_if, 9, neutral,"in case the N1 Vi1 , the N2 Vt2 the N3.", the N1 Vi1,"the N2 Vt2 the N3 if the N1 Vi1 , we do not know whether the N1 Vi1.", N2 Vt2 N3 N1 Vi1 not know N1 Vi1,"['N1', 'N2', 'Vi1', 'Vt2', 'N3']","in case the psychotherapists existed , the doctor helped the athletes .",the psychotherapists existed,"the doctor helped the athletes if the psychotherapists existed , we do not know whether the psychotherapists existed .",doctor helped athletes psychotherapists existed not know psychotherapists existed
116, constituent, cn_embedded_under_if, 10, neutral,"in case the N1 Vt1 the N3 , the N2 Vi2.", the N1 Vt1 the N3,"the N2 Vi2 if the N1 Vt1 the N3 , we do not know whether the N1 Vt1 the N3.", N2 Vi2 N1 Vt1 N3 not know N1 Vt1 N3,"['N1', 'N2', 'Vt1', 'Vi2', 'N3']","in case the managers addressed the psychotherapist , the judge voted .",the managers addressed the psychotherapist,"the judge voted if the managers addressed the psychotherapist , we do not know whether the managers addressed the psychotherapist .",judge voted managers addressed psychotherapist not know managers addressed psychotherapist
117, constituent, cn_embedded_under_if, 11, neutral,"in case the N1 Vt1 the N3 , the N2 Vt2 the N4.", the N1 Vt1 the N3,"the N2 Vt2 the N4 if the N1 Vt1 the N3 , we do not know whether the N1 Vt1 the N3.", N2 Vt2 N4 N1 Vt1 N3 not know N1 Vt1 N3,"['N1', 'N2', 'Vt1', 'Vt2', 'N3', 'N4']","in case the authors brought the lyricists , the designers deceived the banker .",the authors brought the lyricists,"the designers deceived the banker if the authors brought the lyricists , we do not know whether the authors brought the lyricists .",designers deceived banker authors brought lyricists not know authors brought lyricists
